ID;Year_Birth;Education;Marital_Status;Income;Kidhome;Teenhome;Dt_Customer;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Age;TotalSpent;TotalPurchases;TotalKids;AcceptedCmp_total;AvgSpentPerPurchase;DaySinceCustomer
5524;1957;Graduation;Single;58138.0;0;0;2012-09-04;58;635;88;546;172;88;88;3;8;10;4;7;0;0;0;0;0;0;1;68;1617;25;0;1;64.68;4789
2174;1954;Graduation;Single;46344.0;1;1;2014-03-08;38;11;1;6;2;1;6;2;1;1;2;5;0;0;0;0;0;0;0;71;27;6;2;0;4.5;4239
4141;1965;Graduation;Together;71613.0;0;0;2013-08-21;26;426;49;127;111;21;42;1;8;2;10;4;0;0;0;0;0;0;0;60;776;21;0;0;36.95;4438
6182;1984;Graduation;Together;26646.0;1;0;2014-02-10;26;11;4;20;10;3;5;2;2;0;4;6;0;0;0;0;0;0;0;41;53;8;1;0;6.62;4265
5324;1981;PhD;Married;58293.0;1;0;2014-01-19;94;173;43;118;46;27;15;5;5;3;6;5;0;0;0;0;0;0;0;44;422;19;1;0;22.21;4287
7446;1967;Master;Together;62513.0;0;1;2013-09-09;16;520;42;98;0;42;14;2;6;4;10;6;0;0;0;0;0;0;0;58;716;22;1;0;32.55;4419
965;1971;Graduation;Divorced;55635.0;0;1;2012-11-13;34;235;65;164;50;49;27;4;7;3;7;6;0;0;0;0;0;0;0;54;590;21;1;0;28.1;4719
6177;1985;PhD;Married;33454.0;1;0;2013-05-08;32;76;10;56;3;1;23;2;4;0;4;8;0;0;0;0;0;0;0;40;169;10;1;0;16.9;4543
4855;1974;PhD;Together;30351.0;1;0;2013-06-06;19;14;0;24;3;3;2;1;3;0;2;9;0;0;0;0;0;0;1;51;46;6;1;1;7.67;4514
5899;1950;PhD;Together;5648.0;1;1;2014-03-13;68;28;0;6;1;1;13;1;1;0;0;20;1;0;0;0;0;0;0;75;49;2;2;1;24.5;4234
1994;1983;Graduation;Married;51381.5;1;0;2013-11-15;11;5;5;6;0;2;1;1;1;0;2;7;0;0;0;0;0;0;0;42;19;4;1;0;4.75;4352
387;1976;Basic;Married;7500.0;0;0;2012-11-13;59;6;16;11;11;1;16;1;2;0;3;8;0;0;0;0;0;0;0;49;61;6;0;0;10.17;4719
2125;1959;Graduation;Divorced;63033.0;0;0;2013-11-15;82;194;61;480;225;112;30;1;3;4;8;2;0;0;0;0;0;0;0;66;1102;16;0;0;68.88;4352
8180;1952;Master;Divorced;59354.0;1;1;2013-11-15;53;233;2;53;3;5;14;3;6;1;5;6;0;0;0;0;0;0;0;73;310;15;2;0;20.67;4352
